NAME,PRICE,Description
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)  (6 GB RAM)","₹12,999","The Samsung Galaxy F15 is a pinnacle of mobile brilliance, featuring a vibrant sAMOLED display for an immersive visual journey. Experience unmatched battery endurance, lasting up to two days, and revel in four years of hassle-free performance with a powerful MediaTek Dimensity 6100+ and up to 12 GB of RAM. Silence background sounds with noise cancellation, seamlessly share across devices, and enjoy superfast 5G speeds. Capture every detail with the 50 MP triple camera setup and have fun with the front-facing camera's creative features. Fortify your security with the Samsung Knox Vault Chipset and personalise your experience with Smart UI features. The Galaxy F15 redefines smartphone excellence in a compact and versatile package, catering to every aspect of a modern, connected lifestyle."
"Tecno POVA 5 Pro 5G (Dark Illusion, 256 GB)  (8 GB RAM)","₹15,999","With its 68 W Ultra Fast Charging capability, the Tecno POVA 5 Pro 5G redefines perfection in smartphone technology. It can charge from 0% to 50% in just 15 minutes, allowing for continuous use. Your style is enhanced by its unique backlit design and customisable lighting effects. With VC liquid cooling technology, you can keep cool and experience unparalleled performance thanks to the MediaTek Dimensity 6080 5G CPU. Enjoy entertainment to the fullest on the bright 17.22 cm (6.678) FHD+ display with a refresh rate of 120 Hz. With the 16 MP front-facing camera and the 50 MP dual back camera, you can capture every moment. Take advantage of expandable storage of up to 1 TB, up to 16 GB of RAM, and dual 5G capability. "
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)  (6 GB RAM)","₹9,490","The Samsung Galaxy F14 smartphone uses a segment-only 5nm processor that enables you with easy multitasking, gaming, and much more. It has a 6000 mAh battery that will last you for up to 2 days on a single charge. Thanks to the 5G connectivity, you can enjoy high speed browsing on this smartphone. It has a large display of about 16.72 cm (6.5) full HD+ display that enables you with immersive viewing. The 12 GB of RAM with RAM Plus offers enough storage space to store all your data. This smartphone’s OS updates and security updates keeps you updated and protected."
"realme 12x 5G (Twilight Purple, 128 GB)  (8 GB RAM)","₹14,999","The Realme 12x 5G is a sleek powerhouse redefining mobile technology. Swift charging meets endurance with 45 W SUPERVOOC Charge and a 5000 mAh battery, ensuring you're always connected. The Dimensity 6100+ 6nm chipset delivers lightning-fast 5G speeds for seamless connectivity wherever you are. Immerse yourself in the 12.07 cm (6.72) 120 Hz FHD+ Display, offering crystal-clear visuals with its ultra-smooth refresh rate. Style meets substance with its ultra-slim 7.69 mm profile and lightweight 188g body. Capture life's moments in stunning detail with the 50 MP AI camera, while the vapour chamber cooling system keeps performance optimal. Elevate your audio experience with dual stereo speakers, delivering Hi-Res Audio certification for immersive sound. The Realme 12x 5G: where innovation meets elegance in the palm of your hand."
"POCO C65 (Matte Black, 256 GB)  (8 GB RAM)","₹7,999","You can get yourself a POCO C65, a stunning smartphone which is powered to glide you through your day-to-day activities with ease. Featuring a large display, this smartphone brings all the visuals to life with its fast refresh rate of 90 Hz. The MediaTek Helio G85 processor featured in this smartphone delivers exceptional performance so you can play games, watch movies, and do much more. Its efficient Turbo RAM feature enables you to multitask easily as you switch apps. This POCO smartphone boasts a large storage capacity allowing you to store all your documents, photos, videos, and much more. Its 50 MP triple camera along with a 2 MP macro lens is a true game changer if you love capturing memories. Equipped with a massive battery of 5000 mAh, this smartphone supports 18 W fast charging to power you through your day. "
"realme 12x 5G (Woodland Green, 128 GB)  (6 GB RAM)","₹12,999","The Realme 12x 5G is a sleek powerhouse redefining mobile technology. Swift charging meets endurance with 45 W SUPERVOOC Charge and a 5000 mAh battery, ensuring you're always connected. The Dimensity 6100+ 6nm chipset delivers lightning-fast 5G speeds for seamless connectivity wherever you are. Immerse yourself in the 12.07 cm (6.72) 120 Hz FHD+ Display, offering crystal-clear visuals with its ultra-smooth refresh rate. Style meets substance with its ultra-slim 7.69 mm profile and lightweight 188g body. Capture life's moments in stunning detail with the 50 MP AI camera, while the vapour chamber cooling system keeps performance optimal. Elevate your audio experience with dual stereo speakers, delivering Hi-Res Audio certification for immersive sound. The Realme 12x 5G: where innovation meets elegance in the palm of your hand."
"realme P1 Pro 5G (Phoenix Red, 128 GB)  (8 GB RAM)","₹21,999","Explore the realme P1 Pro 5G, where power and brilliance collide. Enjoy beautiful images on this 120 Hz curved AMOLED panel with Pro-XDR technology for amazing HDR effects. Even in low light, your eyes are protected with TUV Rheinland-certified 2160 Hz PWM dimming. With the help of the Snapdragon 6 Gen 1 5G Chipset and Smart 5G, you can easily accomplish activities with uninterrupted connectivity and flawless performance. With the Sony LYT-600 OIS Portrait Camera, you can capture the beauty of the environment and produce breathtaking HDR landscapes and nightscapes with crystal-clear shots thanks to SuperOIS technology. With its IP65 Water Resistance and robustness against dust and water splashes, the P1 Pro 5G guarantees longevity no matter where you travel. Discover dependability and innovation in one stylish gadget."
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)  (4 GB RAM)","₹11,999","The Samsung Galaxy F15 is a pinnacle of mobile brilliance, featuring a vibrant sAMOLED display for an immersive visual journey. Experience unmatched battery endurance, lasting up to two days, and revel in four years of hassle-free performance with a powerful MediaTek Dimensity 6100+ and up to 12 GB of RAM. Silence background sounds with noise cancellation, seamlessly share across devices, and enjoy superfast 5G speeds. Capture every detail with the 50 MP triple camera setup and have fun with the front-facing camera's creative features. Fortify your security with the Samsung Knox Vault Chipset and personalise your experience with Smart UI features. The Galaxy F15 redefines smartphone excellence in a compact and versatile package, catering to every aspect of a modern, connected lifestyle."
"Motorola G34 5G (Ice Blue, 128 GB)  (8 GB RAM)","₹11,999","Look no further than the amazing Moto G34 5G smartphone, which is built to improve performance and add sophistication to your life. Powered by the LPDDR4X RAM and the Snapdragon 695 5G octa-core CPU, the Moto G34 5G offers the performance needed to fully utilise 5G networks. The Moto G34 5G sticks out with its slim, elegant, and light design. There's a vegan leather special edition for an added bit of refinement. Take incredibly clear and vibrant pictures with the sophisticated 50 MP Quad Pixel camera with Image Auto Enhance, the Quad pixel camera system helps you take stunning pictures even in dim lighting. Plus it comes with advanced 16 MP Selfie Camera."
"POCO M6 Pro 5G (Power Black, 128 GB)  (6 GB RAM)","₹9,999","This Poco M6 Pro 5G is a resourceful smartphone helping you to carry out a horde of tasks effortlessly. Equipped with a 4nm Snapdragon processor, Turbo RAM for quick multitasking, 50 MP Dual AI Camera, and 5000 mAh mammoth battery capacity, this phone can be your best companion for all your voyages. It has a premium glass design that comes in a 16.24 cm (6.79) display and has a 90 Hz refresh rate for seamless navigation. "
"Tecno Phantom V fold 5G Full Size Fold LTPO AMOLED Display (Black, 256 GB)  (12 GB RAM)","₹69,999","Putting forth the Tecno Phantom V Fold, an advanced folding phone that provides an early look at mobile technologies of the future. Its flexible AMOLED display and large ultra-flat folding main screen, measuring 19.93 cm (7.85), provide a smooth, crease-free visual experience. With a 90.1% screen-to-body ratio and crisp 100 resolution, the stunning 16.30 cm (6.42) curved sub-screen will allow you to fully immerse yourself. This phone's revolutionary folding design blends elegance with sustainability, and there are two attractive models available. The 5-lens camera system, which has two front and back cameras with up to 50 MP sensors and remarkable low-light sensitivity, allows you to take beautiful pictures. Led by the premier 4 nm MediaTek Dimensity 9000 + 5G CPU, this device offers up to 12 GB of RAM and 512 GB of UFS 3.1 storage for unparalleled performance. With the biggest battery in its class and a 45 W in-box charger for quick charging, you can stay powered all day and be prepared for any situation that arises. "
"Google Pixel 8 (Rose, 128 GB)  (8 GB RAM)","₹62,999","Stay productive throughout the day with this Pixel 8 smartphone that brings to you a multitude of impressive and useful features. Built over a powerful chipset and custom-designed with Google AI for splendid photo and video features, this smartphone is a game changer. With a 6.2-inch high-resolution display, this phone displays sharp and clear content. Audio Magic Eraser uses Google AI to reduce distracting sounds. The phone is designed with safety features to quickly help you respond during emergency situations. With IP68 protection, the phone can handle dust and spills efficiently. Turning on the Extreme Battery Saver mode can help run your phone’s battery up to 72 hours."
"Motorola g64 5G (Ice Lilac, 128 GB)  (8 GB RAM)","₹13,999",NA
"Motorola g64 5G (Pearl Blue, 128 GB)  (8 GB RAM)","₹13,999",NA
